@googlemaps/google-maps-services-js,git+https://github.com/googlemaps/google-maps-services-js.git,^3.3.27,3.3.31
@googlemaps/js-api-loader,git+https://github.com/googlemaps/js-api-loader.git,^1.15.1,1.16.1
@popperjs/core,https://github.com/popperjs/popper-core.git,^2.11.6,2.11.8
@tarekraafat/autocomplete.js,git+https://github.com/TarekRaafat/autoComplete.js.git,^10.2.7,10.2.7
@yaireo/tagify,git+https://github.com/yairEO/tagify.git,^4.17.7,4.17.8
ad-rotator,git+https://github.com/digitalfortress-tech/ad-rotator.git,^5.7.0,5.7.0
avatar-initials,git+https://github.com/MatthewCallis/avatar.git,^6.0.0,6.0.0
bootstrap,git+https://github.com/twbs/bootstrap.git,^5.3.0-alpha1,5.3.0
checkcss,git+https://github.com/broofa/checkcss.git,^2.0.5,2.0.9
clipboard,git+https://github.com/zenorocha/clipboard.js.git,^2.0.11,2.0.11
detect-inapp,git+ssh://git@github.com/f2etw/detect-inapp.git,^1.4.0,1.4.0
dom-to-image,git+https://github.com/tsayen/dom-to-image.git,^2.6.0,2.6.0
font-picker,https://github.com/samuelmeuli/font-picker.git,^3.5.1,3.5.1
holmes.js,git+https://github.com/Haroenv/holmes.git,^1.17.3,1.17.3
htmx.org,git+https://github.com/bigskysoftware/htmx.git,^1.8.5,1.9.2
i18next,git+https://github.com/i18next/i18next.git,^22.4.10,22.5.1
i18next-browser-languagedetector,git+https://github.com/i18next/i18next-browser-languageDetector.git,^7.0.1,7.0.2
i18next-http-backend,git+ssh://git@github.com/i18next/i18next-http-backend.git,^2.1.1,2.2.1
leaflet,git://github.com/Leaflet/Leaflet.git,^1.9.3,1.9.4
leaflet-geosearch,git+https://github.com/smeijer/leaflet-geosearch.git,^3.7.0,3.8.0
leaflet.markercluster,git+https://github.com/Leaflet/Leaflet.markercluster.git,^1.5.3,1.5.3
loc-i18next,git+https://github.com/mthh/loc-i18next.git,^0.1.4,0.1.5
loglevel,git://github.com/pimterry/loglevel.git,^1.8.1,1.8.1
mixitup,https://github.com/patrickkunka/mixitup/,^3.3.1,3.3.1
notyf,git+https://github.com/caroso1222/notyf.git,^3.10.0,3.10.0
pell,git+https://github.com/jaredreich/pell.git,^1.0.6,1.0.6
screenfull,git+https://github.com/sindresorhus/screenfull.git,^6.0.2,6.0.2
simple-lightbox,git+https://github.com/dbrekalo/simpleLightbox.git,^2.1.0,2.1.0
socket.io-client,git+https://github.com/socketio/socket.io-client.git,^4.6.1,4.6.2
svg-injector,https://github.com/iconic/SVGInjector,^1.1.3,1.1.3
tippy.js,git+https://github.com/atomiks/tippyjs.git,^6.3.7,6.3.7
vanilla-picker,git+https://github.com/Sphinxxxx/vanilla-picker.git,^2.12.1,2.12.1
@types/google.maps,https://github.com/DefinitelyTyped/DefinitelyTyped.git,^3.52.0,3.53.4
@types/leaflet.fullscreen,https://github.com/DefinitelyTyped/DefinitelyTyped.git,^1.6.1,1.6.1
@types/web,git+https://github.com/microsoft/TypeScript-DOM-Lib-Generator.git,^0.0.92,0.0.99
autoprefixer,git+https://github.com/postcss/autoprefixer.git,^10.4.13,10.4.14
css-loader,git+https://github.com/webpack-contrib/css-loader.git,^6.7.3,6.8.1
dotenv,git://github.com/motdotla/dotenv.git,^16.0.3,16.1.4
dotenv-webpack,git+https://github.com/mrsteele/dotenv-webpack.git,^8.0.1,8.0.1
eslint,git+https://github.com/eslint/eslint.git,^8.34.0,8.42.0
eslint-config-standard,git://github.com/standard/eslint-config-standard.git,^17.0.0,17.1.0
eslint-plugin-import,git+https://github.com/import-js/eslint-plugin-import.git,^2.27.5,2.27.5
eslint-plugin-n,git+https://github.com/eslint-community/eslint-plugin-n.git,^15.6.1,16.0.0
eslint-plugin-promise,git+https://github.com/eslint-community/eslint-plugin-promise.git,^6.1.1,6.1.1
file-loader,git+https://github.com/webpack-contrib/file-loader.git,^6.2.0,6.2.0
postcss-loader,git+https://github.com/webpack-contrib/postcss-loader.git,^7.0.2,7.3.3
prettier,git+https://github.com/prettier/prettier.git,^2.8.4,2.8.8
sass,git+https://github.com/sass/dart-sass.git,^1.58.3,1.63.3
sass-loader,git+https://github.com/webpack-contrib/sass-loader.git,^13.2.0,13.3.2
scss,https://registry.npmjs.org/scss/-/scss-0.2.4.tgz,^0.2.4,0.2.4
style-loader,git+https://github.com/webpack-contrib/style-loader.git,^3.3.1,3.3.3
webpack,git+https://github.com/webpack/webpack.git,^5.75.0,5.86.0
webpack-cli,git+https://github.com/webpack/webpack-cli.git,^5.0.1,5.1.4
